time,open,high,low,close,Volume,Volume MA
1590652800,205.17957781,208.067679,204.4164508,207.42563123,28876.91327916,33759.66443851565
1590667200,207.51453144,215.09722748,207.17171991,214.27506538,69826.33879974,35566.35261729664
1590681600,214.40506701,215.66763602,213.28389374,214.72231193,48017.34885397,36068.28049022214
1590696000,214.77236774,220.21557461,213.63013852,219.7898975,52757.45611526,36900.496416228634
1590710400,219.81031,224.9523672,219.755685,221.78092551,71559.11959344,38171.08704549514
1590724800,221.78179945,222.32853448,219.17869459,221.22453756,37934.67212243,39085.47144096964
1590739200,221.24301654,223.61995789,217.26061696,218.97013379,52526.0611734,40530.758253939144
1590753600,218.99193905,220.86270448,217.22481937,219.30540102,25682.73305323,40048.20585829514
1590768000,219.26587532,222.47670653,219.10835547,219.8692746,33055.50314378,39701.93118582964
1590782400,219.83641165,221.50099479,218.52871843,220.60009075,17480.16922431,37810.58263916265
1590796800,220.6339088,222.62237763,218.52223938,222.533994,26119.58274284,37329.40717345414
1590811200,222.6071954,233.758784,222.23576682,232.16137516,67210.71469449,39616.39937771614
1590825600,232.13253009,238.14463495,230.87457693,236.68489903,50415.88385358,40969.493877097135
1590840000,236.76209807,239.1918014,233.63067194,235.61802014,54122.95725308,42353.413655499135
1590854400,235.60502186,238.11344801,234.30807144,237.28339794,30316.73876404,40763.82086724764
1590868800,237.26598964,248.83633431,233.81262788,243.7704972,77882.61179401,42429.586398905645
1590883200,243.75919804,245.54930938,235.18603202,237.57309281,62264.80202055,44151.802645673146
1590897600,237.4633947,240.66892311,235.7933797,239.77285456,51290.4958308,45401.503691540645
1590912000,239.72389324,239.93194151,235.40122401,238.80190334,56386.44100049,46884.772507438145
1590926400,238.83072415,240.18816188,231.7715505,233.76438705,51883.43266713,48280.49879898665
1590940800,233.72770976,236.96810455,233.13984678,236.61740916,27983.15898595,48235.811084326146
1590955200,236.601678,236.60820664,229.34357977,231.60321345,38414.97981892,46665.24313528515
1590969600,231.51664872,239.8979268,230.52045263,238.53180438,44529.48644467,46490.85001482016
1590984000,238.5778374,242.64675981,237.25250098,238.53425008,39657.73199052,45835.863808583155
1590998400,238.60203995,238.99125284,235.51217097,236.00653348,30626.54815442,43789.23523663216
1591012800,236.06486772,241.06534935,235.01826834,238.016641,40378.50249865,43911.42675544316
1591027200,238.04564213,240.42438776,237.75485759,237.88427072,23808.18124051,42475.532758798654
1591041600,237.90878265,253.14641448,237.27729929,248.40593372,138286.98546721,48105.74537949766
1591056000,248.454473,249.32518698,245.8415975,247.18927962,71524.31146539,50029.18579557816
1591070400,247.2222772,249.60013617,246.58490836,248.88135308,35137.06267543,50912.03046813416
1591084800,248.88135308,253.52960352,248.04939852,251.85263192,43755.23130771,51793.812896377654
1591099200,251.85564673,254.0596608,223.74208,233.60295009,145626.58101174,55714.606212240156
1591113600,233.6248905,236.86234605,231.9696269,236.28023576,39743.22342747,55180.97319093465
1591128000,236.27955253,239.55995408,234.20177428,237.86477539,28091.04946032,53879.37780129665
1591142400,237.74963738,238.67839454,234.99659381,235.82190275,27447.8105348,53735.93138983465
1591156800,235.82561471,237.339396,232.282504,236.86513413,26047.78874688,51144.19023747815
1591171200,236.8537562,240.94475645,236.24087808,239.75544744,31397.96558174,49600.84841553765
1591185600,239.85516756,240.71198625,236.57406584,239.20000848,37442.27662021,48908.43745500815
1591200000,239.26224885,243.12131013,238.5354375,240.86875626,38014.6284024,47989.84682510365
1591214400,240.87919185,245.66390449,240.10506066,244.61445172,32621.87488201,47026.76893584765
1591228800,244.64545035,246.7310256,242.74289393,245.43902894,43352.04104329,47795.213038714646
1591243200,245.46944891,245.51888288,242.29793503,243.329245,27199.89276021,47234.458685779144
1591257600,243.36619531,243.86271381,235.49446223,243.04237643,45613.50380117,47288.65955360415
1591272000,243.01304034,246.58332637,241.83798791,245.1505623,57244.22998787,48167.98445347165
1591286400,245.1918672,246.05680726,239.29771136,241.40911912,49320.58767022,49102.686429261645
1591300800,241.5093176,244.73935657,238.96751532,243.26116542,35490.78076692,48858.30034267514
1591315200,243.28739438,245.43740763,241.70247602,243.10820059,22507.46315836,48793.26443856764
1591329600,243.13638097,244.40392486,241.92525354,243.56560607,19983.34638672,42878.082484543134
1591344000,243.66843759,247.94535139,239.65911511,243.05518633,49269.39846582,41765.33683456464
1591358400,243.15931858,243.59014625,239.07764972,241.79835975,37930.37729253,41905.002565419636
1591372800,241.88127947,242.91629318,241.0671714,242.027315,21489.86220042,40791.734110055135
1591387200,242.03928177,242.56375579,239.124984,239.98644025,19191.53435624,34469.98177728013
1591401600,239.47128513,241.39659232,237.851329,240.46604794,39204.00993997,34443.021102905135
1591416000,240.37256796,241.25166795,238.91688492,240.12751095,16957.21194973,33886.32922737564
1591430400,240.09492589,244.0962783,239.349042,243.26969378,24565.90894071,33742.23414767113
1591444800,243.37253152,244.63108475,241.12206709,242.33450698,27699.77303635,33824.833362144636
1591459200,242.34297024,243.46221742,239.60011592,241.4690392,22724.64331422,33391.16724876863
1591473600,241.41970494,243.21582542,241.07581539,242.06537241,13033.47260656,32170.72704808613
1591488000,242.01999136,244.2143991,240.2641615,242.9004897,18103.74063138,31175.182659535134
1591502400,242.9011167,243.83361436,241.5010899,242.21348784,18564.77317278,30472.327574073628
1591516800,242.19994302,242.62752905,238.37565755,238.80858771,31510.6068146,29880.255862639122
1591531200,238.70937389,239.906018,234.10990575,237.15093824,55560.52041509,31298.287245383126
1591545600,237.26055964,243.519322,235.2634425,242.29834038,47552.37564068,31395.23083735862
1591560000,242.21563196,245.387727,241.11893027,244.69254583,39693.43481454,30517.69107869212
1591574400,244.79774019,245.62337862,243.2479805,244.13872444,27264.87532517,29414.905461439623
1591588800,244.15736342,244.99028096,243.40491175,243.73287057,21417.83031372,28711.25793877963
1591603200,243.7152505,245.83071902,241.79266588,243.84631803,31438.36605447,29157.803083585128
1591617600,243.84945495,243.99589176,241.04054863,243.00460583,24326.32379314,29374.95195390613
1591632000,243.03353308,246.47487021,241.63804241,242.24691001,23621.7012551,28092.567093370126
1591646400,242.20462707,247.79001306,241.83344197,246.45077443,29862.40460634,27689.168459060624
1591660800,246.48062814,250.60768908,237.7245955,243.20731846,52633.72778185,29246.361738132127
1591675200,243.24701132,243.92596427,242.65826146,243.30689363,17470.31850548,29160.30094559413
1591689600,243.3818606,243.75048432,240.86591705,243.51261018,27612.66692922,28580.733795056625
