time,open,high,low,close,Volume,Volume MA
1590998400,9564,9572.5,9512,9515,139277395,220527082.15
1591012800,9515,9593,9490,9545,258755303,226442944.3
1591027200,9545,9619,9538,9578,200055810,215648249.5
1591041600,9578,10473,9559.5,10250.5,1207559165,260948698.85
1591056000,10250.5,10273,10060,10110.5,409166023,274813308.3
1591070400,10110.5,10133,10074.5,10123,212208214,280400485.9
1591084800,10123,10144,10082.5,10098.5,194571601,282259675.4
1591099200,10098.5,10188,8600.5,9449,1325865667,330841238.5
1591113600,9449,9530.5,9420,9495.5,257941384,334660451.5
1591128000,9495.5,9547.5,9438,9520,186160015,336383933.9
1591142400,9520,9536,9468,9484.5,103053825,337530048.35
1591156800,9484.5,9540.5,9383,9502,228308583,323299882.3
1591171200,9502,9627,9488,9621,219186078,326168950.1
1591185600,9621,9650,9484.5,9553.5,243743168,327737444.4
1591200000,9553.5,9620,9500.5,9575.5,173952935,327400137.45
1591214400,9575.5,9695,9559,9668,135612561,316775671.95
1591228800,9668,9689.5,9607,9671.5,119477472,315282935.15
1591243200,9671.5,9675,9623.5,9646.5,94590585,306281624.6
1591257600,9646.5,9647,9406,9624,424938077,316288888.05
1591272000,9624,9891,9605,9838,466444203,330043403.2
1591286400,9838,9898,9713.5,9820,320729634,339116015.15
1591300800,9820,9866.5,9736.5,9799,198565490,336106524.5
1591315200,9799,9849.5,9754,9797,137324769,332969972.45
1591329600,9797,9830.5,9736,9777,164421537,280813091.05
1591344000,9777,9860.5,9577,9696.5,568459156,288777747.7
1591358400,9696.5,9727,9613,9710.5,327710902,294552882.1
1591372800,9710.5,9750,9689,9721.5,115141260,290581365.05
1591387200,9721.5,9732.5,9610.5,9610.5,173720901,232974126.75
1591401600,9610.5,9629.5,9526,9628.5,223195749,231236845
1591416000,9628.5,9629,9570.5,9601,84655791,226161633.8
1591430400,9601,9696.5,9575.5,9689.5,175367994,229777342.25
1591444800,9689.5,9770,9616.5,9647,199988532,228361339.7
1591459200,9647,9672,9581,9662.5,129833603,223893715.95
1591473600,9662.5,9731,9635.5,9668.5,166127214,220012918.25
1591488000,9668.5,9702.5,9620,9687.5,109212745,216775908.75
1591502400,9687.5,9718,9640,9659.5,100413681,215015964.75
1591516800,9659.5,9685,9539.5,9567.5,312248071,224654494.7
1591531200,9567.5,9594,9360,9488.5,571078460,248478888.45
1591545600,9488.5,9845.5,9451.5,9788.5,407348950,247599432.1
1591560000,9788.5,9811.5,9694,9760.5,290984406,238826442.25
1591574400,9760.5,9788,9722,9733.5,158083729,230694147
1591588800,9733.5,9767,9727.5,9736,112764805,226404112.75
1591603200,9736,9825,9650,9752,306003259,234838037.25
1591617600,9752,9758,9655,9702.5,232557055,238244813.15
1591632000,9702.5,9749,9663.5,9695.5,162731449,217958427.8
1591646400,9695.5,9815,9678,9793,204357257,211790745.55
1591660800,9793,9899,9465,9683.5,546988651,233383115.1
1591675200,9683.5,9705,9668,9682,87470792,229070609.65
1591689600,9682,9729,9609,9725,170210321,226421338.25
1591704000,9725,9758,9660,9723.5,211888510,232782974.2
1591718400,9723.5,9751.5,9688,9735.5,106126115,229320880.25
1591732800,9735.5,9850,9700,9784,311571488,234900028.05
1591747200,9784,9820,9743.5,9755,112979349,234057315.35
1591761600,9755,9784,9715,9751.5,117373680,231619638.65
1591776000,9751.5,9767.5,9707,9733,99978137,231157908.25
1591790400,9733,9781.5,9724,9762.5,124463262,232360387.3
1591804800,9762.5,10180,9600.5,9855,691650531,251330510.3
1591819200,9855,9925,9829,9894,206000052,233076589.9
1591833600,9894,10050,9851,9900,336798454,229549065.1
1591848000,9900,9915,9660,9792,428963666,236448028.1
