Date,Open,High,Low,Close
2019-10-25,0.46,1.644,0.46,1.2983
2019-10-26,1.2966,1.3612,0.9355,0.9762
2019-10-27,0.975,0.9996,0.7711,0.8068
2019-10-28,0.8127,1.0749,0.7335,0.9079
2019-10-29,0.9105,0.9656,0.8314,0.8694
2019-10-30,0.868,0.9036,0.8001,0.8565
2019-10-31,0.853,0.8565,0.7755,0.7999
2019-11-01,0.7998,0.8615,0.7699,0.8324
2019-11-02,0.8324,0.993,0.822,0.9501
2019-11-03,0.9501,1.2752,0.942,1.1706
2019-11-04,1.1706,1.388,1.0784,1.158
2019-11-05,1.1557,1.18,1.0251,1.0504
2019-11-06,1.0534,1.1,0.95,0.9658
2019-11-07,0.9686,1.1,0.9518,1.0609
2019-11-08,1.0584,1.1919,1.0201,1.0529
2019-11-09,1.0529,1.1653,1.0208,1.1369
2019-11-10,1.1321,1.2354,1.0733,1.1447
2019-11-11,1.149,1.1999,1.11,1.1579
2019-11-12,1.1579,1.17,1.0514,1.089
2019-11-13,1.089,1.11,1.0601,1.0685
2019-11-14,1.0694,1.085,0.9875,1.0409
2019-11-15,1.0422,1.0701,1.0102,1.045
2019-11-16,1.0426,1.162,1.0237,1.0998
2019-11-17,1.0957,1.1221,1.0551,1.0716
2019-11-18,1.0716,1.2142,1.066,1.1474
2019-11-19,1.1473,1.3061,1.1383,1.26
2019-11-20,1.26,1.4681,1.17,1.197
2019-11-21,1.197,1.2016,1.043,1.1631
2019-11-22,1.1621,1.2131,1.06,1.1025
2019-11-23,1.1048,1.19,1.0927,1.15
2019-11-24,1.1485,1.2289,1.1307,1.1949
2019-11-25,1.1949,1.1949,0.9924,1.089
2019-11-26,1.089,1.138,1.0709,1.0915
2019-11-27,1.0918,1.0983,1.0166,1.0652
2019-11-28,1.0652,1.098,1.032,1.0611
2019-11-29,1.0662,1.1256,1.0601,1.0861
2019-11-30,1.086,1.0947,1.06,1.0787
2019-12-01,1.0782,1.0783,1.0073,1.0631
2019-12-02,1.0663,1.0663,1.0095,1.0218
2019-12-03,1.0175,1.0565,1.01,1.0447
2019-12-04,1.0447,1.0622,0.9226,0.9404
2019-12-05,0.9425,1.0014,0.8811,0.9258
2019-12-06,0.9258,1.031,0.9089,0.9776
2019-12-07,0.9723,1.01,0.9476,0.9817
2019-12-08,0.9811,0.9856,0.9477,0.9584
2019-12-09,0.9586,0.9725,0.907,0.9161
2019-12-10,0.9161,0.9173,0.7756,0.8026
2019-12-11,0.8026,0.8363,0.799,0.82
2019-12-12,0.8222,0.8364,0.801,0.8361
2019-12-13,0.8361,0.99,0.8158,0.9667
2019-12-14,0.963,1.0491,0.8921,0.9362
2019-12-15,0.9413,1.0978,0.8912,1.049
2019-12-16,1.049,1.07,0.9533,0.957
2019-12-17,0.9595,1.1,0.9533,1.0447
2019-12-18,1.0447,1.0752,0.913,0.9948
2019-12-19,0.9948,1.0353,0.9606,0.9795
2019-12-20,0.9813,1.0459,0.9531,1.0349
2019-12-21,1.0313,1.1627,1.0226,1.0589
2019-12-22,1.0589,1.13,1.0491,1.0688
2019-12-23,1.072,1.0847,0.97,1.0006
2019-12-24,1.001,1.112,0.9901,1.071
2019-12-25,1.0666,1.0871,1.0287,1.0678
2019-12-26,1.0621,1.136,1.0621,1.0836
2019-12-27,1.0836,1.2074,1.0836,1.1991
2019-12-28,1.1995,1.3201,1.171,1.1728
2019-12-29,1.176,1.2127,1.1155,1.1549
2019-12-30,1.1547,1.204,1.127,1.1367
2019-12-31,1.1367,1.19,1.1163,1.1185
2020-01-01,1.1185,1.14,1.0745,1.1364
2020-01-02,1.1363,1.1434,1.0128,1.0172
2020-01-03,1.0175,1.099,1.0111,1.0241
2020-01-04,1.0241,1.0578,1.0221,1.0401
2020-01-05,1.0401,1.065,1.0234,1.031
2020-01-06,1.031,1.0578,1.023,1.0529
2020-01-07,1.0562,1.1497,1.0468,1.0881
2020-01-08,1.0951,1.0992,1.0332,1.07
2020-01-09,1.0732,1.0779,1.025,1.0261
2020-01-10,1.0265,1.05,0.9872,1.05
2020-01-11,1.0499,1.0504,1.0227,1.025
2020-01-12,1.025,1.0432,1.0232,1.0361
2020-01-13,1.0362,1.037,0.9947,1.0133
2020-01-14,1.0127,1.04,0.997,1.0137
2020-01-15,1.014,1.059,1.0085,1.023
2020-01-16,1.023,1.133,1.0194,1.0981
2020-01-17,1.0982,1.145,1.0951,1.1125
2020-01-18,1.1112,1.1182,1.036,1.0532
2020-01-19,1.0594,1.0811,1.03,1.0484
2020-01-20,1.0501,1.07,1.0401,1.061
2020-01-21,1.0614,1.086,1.0305,1.0799
2020-01-22,1.0731,1.0784,1.0481,1.069
2020-01-23,1.069,1.13,1.0544,1.0822
2020-01-24,1.089,1.0981,1.0491,1.0621
2020-01-25,1.0621,1.1299,1.0558,1.1184
2020-01-26,1.1184,1.13,1.1,1.1045
2020-01-27,1.108,1.1182,1.08,1.0987
2020-01-28,1.0981,1.1056,1.0546,1.0722
2020-01-29,1.0672,1.0721,1.0381,1.0385
2020-01-30,1.0386,1.0715,1.0385,1.0479
2020-01-31,1.0461,1.115,1.0425,1.0565
2020-02-01,1.0564,1.08,1.0515,1.0563
2020-02-02,1.0565,1.0637,1.0373,1.0506
2020-02-03,1.0494,1.0655,1.0399,1.0553
2020-02-04,1.0552,1.21,1.0442,1.1502
2020-02-05,1.1502,1.273,1.0852,1.2002
2020-02-06,1.2004,1.4,1.2,1.287
2020-02-07,1.287,1.3599,1.2324,1.237
2020-02-08,1.237,1.2397,1.1271,1.152
2020-02-09,1.152,1.222,1.1517,1.1898
2020-02-10,1.1918,1.1991,1.1401,1.159
2020-02-11,1.1585,1.181,1.139,1.1745
2020-02-12,1.1745,1.289,1.1517,1.2186
2020-02-13,1.2187,1.2512,1.1559,1.1615
2020-02-14,1.1611,1.235,1.1488,1.2083
2020-02-15,1.21,1.2306,1.0927,1.1094
2020-02-16,1.1094,1.1242,0.9208,1.048
2020-02-17,1.0485,1.05,0.915,0.9754
2020-02-18,0.9807,1.0361,0.9517,0.97
2020-02-19,0.97,1.0026,0.8305,0.8571
2020-02-20,0.8526,0.8979,0.8261,0.8867
2020-02-21,0.8874,0.9329,0.8631,0.8797
2020-02-22,0.8797,0.8989,0.854,0.8855
2020-02-23,0.8925,0.98,0.887,0.9576
2020-02-24,0.9576,0.9799,0.8513,0.8846
2020-02-25,0.8846,0.8989,0.8243,0.8449
2020-02-26,0.84,0.95,0.76,0.8366
2020-02-27,0.838,0.8824,0.8013,0.8344
2020-02-28,0.8344,0.8815,0.7918,0.8173
2020-02-29,0.816,0.8493,0.8,0.8121
2020-03-01,0.8121,0.8569,0.779,0.8298
2020-03-02,0.8254,0.8785,0.8225,0.8557
2020-03-03,0.8571,0.9255,0.8505,0.8807
2020-03-04,0.8807,0.9361,0.866,0.9206
2020-03-05,0.9206,0.9678,0.8997,0.9248
2020-03-06,0.9213,0.9355,0.88,0.8911
2020-03-07,0.8913,0.9422,0.8427,0.8534
2020-03-08,0.852,0.953,0.7989,0.8052
2020-03-09,0.8022,0.855,0.77,0.8259
2020-03-10,0.8259,0.93,0.78,0.8977
2020-03-11,0.8972,0.9896,0.8092,0.8808
2020-03-12,0.8808,0.8963,0.3638,0.38
2020-03-13,0.38,0.5199,0.2403,0.4418
2020-03-14,0.4515,0.4712,0.393,0.4055
2020-03-15,0.407,0.4698,0.4002,0.4139
2020-03-16,0.4136,0.4145,0.3084,0.345
2020-03-17,0.345,0.4026,0.3395,0.3843
2020-03-18,0.386,0.3927,0.3456,0.3885
2020-03-19,0.3908,0.4499,0.3505,0.4258
2020-03-20,0.4278,0.488,0.37,0.4228
