time,open,high,low,close,Plot,Plot,Volume,Volume MA
1467360000,12.2627,12.2627,12.0833,12.0833,13.0312,11.7346,0,0
1467374400,12.0833,12.1081,11.8472,11.9535,13.0312,11.7346,0,0
1467388800,11.9535,12.1432,11.8831,12.1217,13.0312,11.7346,0,0
1467403200,12.1217,12.4073,12.1049,12.3535,13.0312,11.7346,0,0
1467417600,12.3535,12.3535,12.0142,12.1019,13.0312,11.7346,0,0
1467432000,12.1019,12.1895,12.0464,12.0768,13.0312,11.7346,0,0
1467446400,12.0768,12.0847,12.0007,12.0007,13.0312,11.7346,0,0
1467460800,12.0007,12.0611,12.0007,12.0611,13.0312,11.7346,0,0
1467475200,12.0611,12.1231,12.0381,12.1231,13.0312,11.7346,0,0
1467489600,12.1231,12.1541,12.0196,12.1541,13.0312,11.7346,0,0
1467504000,12.1541,12.1541,12.0236,12.0649,13.0312,11.7346,0,0
1467518400,12.0649,12.1129,12.0238,12.0252,13.0312,11.7346,0,0
1467532800,12.0252,12.0595,11.9867,12.0238,13.0312,11.7346,0,0
1467547200,12.0238,12.0238,11.7297,11.7297,13.0312,11.7297,0,0
1467561600,11.7297,11.7297,11.6112,11.7286,13.0312,11.7297,0,0
1467576000,11.7286,11.9264,11.7033,11.83,13.0312,11.7297,0,0
1467590400,11.83,11.83,11.628,11.7798,13.0312,11.7297,0,0
1467604800,11.7798,11.8802,11.7798,11.859,13.0312,11.7297,0,0
1467619200,11.859,11.859,11.5679,11.5901,13.0312,11.7297,0,0
1467633600,11.5901,11.6078,11.4457,11.6078,13.0312,11.7297,0,0
1467648000,11.6078,11.6078,11.4027,11.4027,13.0312,11.7297,0,0
1467662400,11.4027,11.5213,11.4027,11.443,13.0312,11.7297,0,0
1467676800,11.443,11.5105,11.4255,11.4706,13.0312,11.7297,0,0
1467691200,11.4706,11.4712,10.9552,10.9552,13.0312,11.7297,0,0
1467705600,10.9552,10.9599,10.0025,10.3031,13.0312,11.7297,0,0
1467720000,10.3031,10.3031,9.77853,9.84422,13.0312,11.7297,0,0
1467734400,9.84422,10.1041,9.84422,10.0116,13.0312,11.7297,0,0
1467748800,10.0116,10.574,9.9844,10.574,13.0312,11.7297,0,0
1467763200,10.574,10.6114,10.3732,10.4114,13.0312,11.7297,0,0
1467777600,10.4114,11.0877,10.4114,11.056,13.0312,11.7297,0,0
1467792000,11.056,11.0604,10.7647,10.8163,11.0877,9.84422,0,0
1467806400,10.8163,10.8163,10.4799,10.8032,11.0877,9.84422,0,0
1467820800,10.8032,10.8032,10.5967,10.5967,11.0877,9.84422,0,0
1467835200,10.5967,10.6016,10.5032,10.5196,11.0877,9.84422,0,0
1467849600,10.5196,10.5658,10.3327,10.3327,11.0877,9.84422,0,0
1467864000,10.3327,10.3327,9.99681,10.1532,11.0877,9.84422,0,0
1467878400,10.1532,10.1532,9.97937,10.1065,11.0877,9.84422,0,0
1467892800,10.1065,10.1208,10.0411,10.0939,11.0877,9.84422,0,0
1467907200,10.0939,10.1236,9.88151,9.89925,11.0877,9.84422,0,0
1467921600,9.89925,10.1037,9.81743,10.1037,11.0877,9.81743,0,0
1467936000,10.1037,10.1231,10.0463,10.0463,11.0877,9.81743,0,0
1467950400,10.0463,10.2745,9.98794,10.2745,11.0877,9.81743,0,0
1467964800,10.2745,10.2745,10.2007,10.2496,11.0877,9.81743,0,0
1467979200,10.2496,10.814,10.2496,10.7696,11.0877,9.81743,0,0
1467993600,10.7696,10.8975,10.6333,10.8975,11.0877,9.81743,0,0
1468008000,10.8975,11.5248,10.8975,11.4389,11.0877,9.81743,0,0
1468022400,11.4389,11.4389,11.1224,11.1224,11.0877,9.81743,0,0
1468036800,11.1224,11.1224,10.9302,10.9901,11.0877,9.81743,0,0
1468051200,10.9901,10.9901,10.7807,10.8019,11.0877,9.81743,0,0
1468065600,10.8019,11.0107,10.7979,10.9357,11.0877,9.81743,0,0
1468080000,10.9357,11.0527,10.9357,11.0431,11.4389,10.7807,0,0
