time,open,high,low,close,Plot,Plot,Volume,Volume MA
1467388800,674.14,683.29,669.75,677.38,666.98,614.94,687791,877348.2
1467403200,677.38,682.35,673.73,677.3,685.69,667,476179,840046.15
1467417600,677.3,681,676.72,678.84,685.69,667,156085,812293.35
1467432000,678.84,680.78,677.44,678.96,685.69,667,266440,782618.45
1467446400,678.96,702.36,678.33,692.13,685.69,667,1287870,781641.65
1467460800,692.13,703.36,685.56,694.17,685.69,667,2008603,849439.85
1467475200,694.17,698.61,692.43,692.55,685.69,667,461086,843034.15
1467489600,692.55,706.7,692.55,706,685.69,667,1018345,870712.9
1467504000,706,707.1,680.01,687.85,685.69,667,1622015,920770
1467518400,687.85,694.81,674.43,681.22,685.69,667,1130495,949035.1
1467532800,681.22,683.84,661.77,678.99,685.69,667,1647576,1019608.05
1467547200,678.99,680.62,645.33,656.01,685.69,667,2158838,1117055.15
1467561600,656.01,665,641.13,664.03,685.69,667,1400558,1137504.7
1467576000,664.03,664.19,653.91,656.42,685.69,667,613239,1055348.7
1467590400,656.42,670.82,641,669.61,685.69,667,921845,1041751.8
1467604800,669.61,674.43,663.73,672.01,685.69,667,545479,1008986.3
1467619200,672.01,675.09,666.17,669,685.69,667,462383,965403.7
1467633600,669,680.76,668.12,672.76,685.69,667,634494,958657.6
1467648000,672.76,675.85,666.59,673.8,685.69,667,541489,957326.2
1467662400,673.8,682.33,667.37,679.75,682.33,663.73,752467,939663.85
1467676800,679.75,680.39,673.8,678.51,682.33,663.73,322578,921403.2
1467691200,678.51,678.51,670.56,675.28,682.33,663.73,490366,922112.55
1467705600,675.28,676.32,664.49,675.25,682.33,663.73,614548,945035.7
1467720000,675.25,675.99,660.89,667.4,682.33,660.89,713712,967399.3
1467734400,667.4,670.39,664.56,667.01,682.33,660.89,906519,948331.75
1467748800,667.01,670.5,662.88,665.96,682.33,660.89,388792,867341.2
1467763200,665.96,677.72,665.96,677.63,682.33,660.89,447031,866638.45
1467777600,677.63,683.38,671.38,673.26,682.33,660.89,656883,848565.35
1467792000,673.26,675.7,667.52,672.08,682.33,660.89,408816,787905.4
1467806400,672.08,678.39,669.72,675.25,682.33,660.89,449150,753838.15
1467820800,675.25,678.33,671.44,676.49,682.33,660.89,213962,682157.45
1467835200,676.49,680.36,672.3,677,682.33,660.89,234617,585946.4
1467849600,677,683,669.83,670.95,683,667.52,552618,543549.4
1467864000,670.95,673.5,626.86,637.15,683,667.52,1758778,600826.35
1467878400,637.15,645.87,633.38,643.6,683,667.52,424425,575955.35
1467892800,643.6,644.08,631.85,633.73,683,667.52,2116914,654527.1
1467907200,633.73,636.71,609.27,617,683,667.52,1613727,712094.3
1467921600,617,637.27,606.42,636.91,683,667.52,2876548,824197
1467936000,636.91,648,635.58,638.87,683,667.52,628844,828564.75
1467950400,638.87,647,631.02,640.99,683,667.52,588354,820359.1
1467964800,640.99,643.41,637.3,643.38,683,667.52,584321,833446.25
1467979200,643.38,654,640.78,648.5,683,667.52,916570,854756.45
1467993600,648.5,656,648.5,653.19,656,631.02,413773,844717.7
1468008000,653.19,665.34,651.86,661.6,656,631.02,1374840,877774.1
1468022400,661.6,661.6,648.35,653.75,656,631.02,1050705,884983.4
1468036800,653.75,659.62,650,655.43,656,631.02,231655,877126.55
1468051200,655.43,656.49,640.33,650.32,656,631.02,746226,892086.3
1468065600,650.32,664.54,642.75,658.3,656,631.02,1051586,911821.45
1468080000,658.3,664.2,622,640.98,656,631.02,2322758,1007518.55
1468094400,640.98,655,638.87,647.32,656,631.02,872476,1028684.85
1468108800,647.32,650.58,643.68,648.01,656,631.02,438697,1039921.6
1468123200,648.01,648.31,638.74,644.7,656,631.02,468170,1051599.25
1468137600,644.7,648.57,642.85,645.01,656,631.02,136470,1030791.85
1468152000,645.01,647.41,634.91,643.94,655,634.91,588706,972288.25
1468166400,643.94,652.67,642.68,650.17,655,634.91,926732,997403.6
1468180800,650.17,652.62,647.01,650.49,655,634.91,485141,915814.95
1468195200,650.49,659.95,648.63,656.8,659.95,634.91,795193,874888.25
1468209600,656.8,660.19,641.05,646,660.19,634.91,1023774,782249.55
1468224000,646,646.5,640,642.51,660.19,634.91,628031,782208.9
1468238400,642.51,649,641,646,660.19,634.91,696750,787628.7
1468252800,646,649.32,645.51,647.83,660.19,634.91,296662,773245.75
1468267200,647.83,649.9,645.16,647.22,660.19,634.91,188433,736838.9
1468281600,647.22,654.17,645.19,648.2,660.19,634.91,406635,736482
1468296000,648.2,649.54,645.51,647.28,660.19,634.91,82661,671873.05
1468310400,647.28,656.85,646.39,653.47,660.19,634.91,640979,651386.75
1468324800,653.47,665,652,661.18,660.19,634.91,1034837,691545.85
1468339200,661.18,676.62,661.18,669.55,660.19,634.91,1225863,715527.7
1468353600,669.55,677.52,665.1,668,660.19,634.91,802952,703096
1468368000,668,668,663.52,664.61,660.19,634.91,264649,600190.55
1468382400,664.61,666,662.39,666,660.19,634.91,161922,564662.85
1468396800,666,667.99,662.65,664.36,660.19,634.91,93574,547406.7
1468411200,664.36,666.97,650.95,661.45,660.19,634.91,940888,571042.6
1468425600,661.45,663.14,658.35,659.26,668,650.95,169469,572692.55
1468440000,659.26,662.73,650.98,652.76,668,650.95,257265,556120.5
1468454400,652.76,655.19,648,652.72,668,650.95,659221,542744.95
1468468800,652.72,657,649.91,650.5,668,650.95,469965,541986.15
1468483200,650.5,660.77,648.37,660.1,668,650.95,524498,528451.4
1468497600,660.1,662.52,658.66,660.25,668,650.95,144824,484503.9
1468512000,660.25,665.37,659.08,659.63,668,650.95,224300,464317.35
1468526400,659.63,662.23,656.15,657.51,665.37,648.37,480202,453489.95
1468540800,657.51,670.67,657.51,664.14,665.37,648.37,534777,465395.7
1468555200,664.14,666.54,663.06,663.22,665.37,648.37,100670,461007.55
1468569600,663.22,667.91,662.31,663.54,665.37,648.37,450463,463198.95
1468584000,663.54,663.65,658.65,662.75,665.37,648.37,315267,474829.25
1468598400,662.75,665.77,662.75,664.42,665.37,648.37,158716,450716.1
1468612800,664.42,669,662.47,663.05,669,658.65,427011,420324.8
1468627200,663.05,668,663.05,665.47,669,658.65,184659,368264.6
1468641600,665.47,670,663.6,666.31,670,658.65,243929,340313.45
1468656000,666.31,667.58,665.43,666.2,670,658.65,79888,331075.4
1468670400,666.2,667,652.61,659.24,670,658.65,819310,363944.8
1468684800,659.24,662.63,659.24,662.63,670,658.65,85754,363553.8
1468699200,662.63,662.63,660.1,660.94,670,658.65,84258,320722.3
1468713600,660.94,666.74,660.58,665.15,670,658.65,251158,324806.75
1468728000,665.15,670,660.87,668.06,670,658.65,365977,330242.35
1468742400,668.06,671.58,666.86,669.5,670,658.65,276529,311107.75
1468756800,669.5,673.38,669,669.01,670,658.65,658194,320519.2
1468771200,669.01,689.21,668.75,681.76,670,658.65,1595427,374065.65
1468785600,681.76,684.2,677.12,682.82,670,658.65,354718,384560.35
1468800000,682.82,684.94,681.55,684.25,670,658.65,255869,386138.8
1468814400,684.25,684.25,680.89,682.22,670,658.65,98369,367047.15
1468828800,682.22,682.35,679.28,679.83,670,658.65,342507,357433.65
1468843200,679.83,685.04,677.68,685.04,685.04,677.12,592133,382006.8
1468857600,685.04,685.24,663.21,670.23,685.24,663.21,1603944,439680.85
1468872000,670.23,676.42,670.23,674.2,685.24,663.21,525656,450200.3
1468886400,674.2,674.4,671.88,671.88,685.24,663.21,56996,445114.3
1468900800,671.88,674.5,671.88,672.97,685.24,663.21,119576,429742.55
1468915200,672.97,672.97,667.4,672.7,685.24,663.21,180995,429559.35
1468929600,672.7,673.94,670.05,671.7,685.24,663.21,301957,432460.75
1468944000,671.7,671.76,667,669.49,685.24,663.21,303497,443641.2
1468958400,669.49,676.85,667.99,675.24,685.24,663.21,421077,423729.55
1468972800,675.24,675.24,672.85,673.46,685.24,663.21,148204,426852.05
1468987200,673.46,674.84,670.85,672.9,685.24,663.21,263416,435809.95
1469001600,672.9,672.9,670.43,671.26,685.24,663.21,40722,425288.15
1469016000,671.26,672.84,655.32,663.7,685.24,663.21,883992,451188.9
1469030400,663.7,666.23,660.59,663,685.24,663.21,424024,458563.65
1469044800,663,666,663,665.21,685.24,663.21,118748,431591.35
1469059200,665.21,665.21,655,660.74,685.24,663.21,534952,378567.6
1469073600,660.74,664.99,660.42,663.1,685.24,663.21,227863,372224.85
1469088000,663.1,664.43,661.01,664.11,685.24,663.21,135779,366220.35
1469102400,664.11,667.45,663.61,664.44,685.24,663.21,288636,375733.7
1469116800,664.44,667.73,664.41,664.6,685.24,663.21,148001,366008.4
1469131200,664.6,666.28,664,664.59,667.73,660.42,100972,341450.35
1469145600,664.59,668.38,663.03,666.36,668.38,660.42,220429,272274.6
1469160000,666.36,667.03,663.93,665,668.38,660.42,150437,253513.65
1469174400,665,665.66,657.65,658.75,668.38,657.65,373381,269332.9
1469188800,658.75,660.22,645.21,651.99,668.38,657.65,1627254,344716.8
1469203200,651.99,656.93,651.99,655.32,668.38,657.65,283309,349832.5
1469217600,655.32,656,640.53,648.28,668.38,657.65,687524,369110.85
1469232000,648.28,652.52,647.9,651.71,668.38,657.65,170090,362440.5
1469246400,651.71,651.71,646.45,648.69,668.38,657.65,166646,349718.95
1469260800,648.69,657.38,648.69,656.82,668.38,657.65,342757,359446.6
1469275200,656.82,658.05,653.6,653.6,668.38,657.65,188036,355677.6
1469289600,653.6,656,651,653.42,658.05,646.45,347583,371020.65
1469304000,653.42,656.47,652.76,653.49,658.05,646.45,70066,330324.35
1469318400,653.49,655.44,650.05,652.68,658.05,646.45,105924,314419.35
1469332800,652.68,654.95,651.88,653.28,658.05,646.45,10148,308989.35
1469347200,653.28,655.19,650.53,655.19,658.05,646.45,61699,285326.7
1469361600,655.19,659.99,653.84,658.24,658.05,646.45,184167,283141.9
1469376000,658.24,663.95,657.57,663.16,658.05,646.45,257712,289238.55
1469390400,663.16,663.75,660.96,661,658.05,646.45,22648,275939.15
1469404800,661,663.64,659.96,660.44,658.05,646.45,47115,270894.85
1469419200,660.44,661.13,647.81,652.94,658.05,646.45,224358,277064.15
1469433600,652.94,654.43,650.68,651.95,658.05,646.45,83185,270201.95
1469448000,651.95,656.12,651.27,656.12,663.75,647.81,173824,271371.3
1469462400,656.12,656.64,652.53,655.55,663.75,647.81,139018,259653.15
1469476800,655.55,656.86,652.27,652.95,663.75,647.81,117437,184162.3
